,name,company,year,Price,kms_driven,fuel_type
227,Mercedes Benz B,Mercedes,2014,1085999.9999999963,31000.0,Petrol
228,Datsun GO T,Datsun,2016,245000.0,7000.0,Petrol
229,Tata Indigo eCS,Tata,2016,320000.0,103642.39999999997,Diesel
230,Tata Indigo eCS,Tata,2016,320000.0,103642.39999999997,Diesel
231,Honda Jazz VX,Honda,2016,450000.0,41000.0,Petrol
232,Honda Amaze 1.2,Honda,2014,311000.0,33000.0,Petrol
233,Honda Amaze,Honda,2013,284999.0,46000.0,Diesel
234,Honda City,Honda,2012,399999.0,45000.0,Petrol
235,Honda City,Honda,2015,599999.0,39000.0,Diesel
236,Honda Amaze,Honda,2015,344999.0,22000.0,Petrol
237,Audi A4 1.8,Audi,2009,699000.0,47000.0,Petrol
238,Force Motors Force,Force,2015,580000.0,3470.0000000000005,Diesel
239,Mahindra Scorpio S4,Mahindra,2015,855000.0,30000.0,Diesel
240,Hyundai i20 Active,Hyundai,2015,535000.0,37000.0,Diesel
241,Mini Cooper S,Mini,2013,1085999.9999999963,13000.0,Petrol
242,Maruti Suzuki Ciaz,Maruti,2017,699000.0,14000.0,Petrol
243,Chevrolet Tavera Neo,Chevrolet,2013,375000.0,55000.0,Diesel
244,Honda Amaze,Honda,2013,284999.0,46000.0,Diesel
245,Hyundai Eon Sportz,Hyundai,2012,178000.0,30000.0,Petrol
246,Tata Sumo Gold,Tata,2013,300000.0,50000.0,Diesel
247,Maruti Suzuki Wagon,Maruti,2003,90000.0,45000.0,Petrol
248,Maruti Suzuki Esteem,Maruti,2006,95000.0,45000.0,Petrol
249,Maruti Suzuki Eeco,Maruti,2015,255000.0,9300.0,Petrol
250,Chevrolet Enjoy 1.4,Chevrolet,2013,245000.0,55000.0,Diesel
251,Hyundai i20 Asta,Hyundai,2012,329500.0,36200.0,Diesel
252,Ford Figo Diesel,Ford,2014,195000.0,50000.0,Diesel
253,Maruti Suzuki Eeco,Maruti,2015,251111.0,55000.0,Petrol
254,Maruti Suzuki Ertiga,Maruti,2014,569999.0,45000.0,Petrol
255,Maruti Suzuki Esteem,Maruti,2007,74500.00000000001,51000.0,Petrol
256,Maruti Suzuki Ritz,Maruti,2014,299999.0,19000.0,Petrol
257,Maruti Suzuki Dzire,Maruti,2009,220000.0,46000.0,Petrol
258,Maruti Suzuki Ritz,Maruti,2013,399999.0,33000.0,Diesel
259,Maruti Suzuki SX4,Maruti,2010,249999.0,36000.0,Petrol
260,Maruti Suzuki Wagon,Maruti,2015,289999.0,22000.0,Petrol
261,Mini Cooper S,Mini,2013,1085999.9999999963,13500.0,Petrol
262,Nissan Terrano XL,Nissan,2015,499999.0,60000.0,Diesel
263,Renault Duster 85,Renault,2013,489999.0,27000.0,Diesel
264,Renault Duster 85,Renault,2014,489999.0,59000.0,Diesel
265,Renault Duster 85,Renault,2015,549999.0,19000.0,Diesel
266,Maruti Suzuki Dzire,Maruti,2013,380000.0,30000.0,Petrol
267,Renault Kwid RXT,Renault,2018,325000.0,15000.0,Petrol
268,Maruti Suzuki Maruti,Maruti,2003,74500.00000000001,56758.0,Petrol
269,Renault Kwid 1.0,Renault,2018,349999.0,10000.0,Petrol
270,Renault Lodgy 85,Renault,2018,689999.0,20000.0,Diesel
271,Renault Scala RxL,Renault,2014,349999.0,49000.0,Diesel
272,Hyundai Grand i10,Hyundai,2014,410000.0,41000.0,Petrol
273,Maruti Suzuki Swift,Maruti,2011,225000.0,45000.0,Petrol
274,Chevrolet Beat LS,Chevrolet,2010,120000.0,43000.0,Petrol
275,Tata Indigo eCS,Tata,2016,320000.0,103642.39999999997,Diesel
276,Hyundai Santro Xing,Hyundai,2000,74500.00000000001,56450.0,Petrol
277,Hyundai Fluidic Verna,Hyundai,2015,540000.0,38000.0,Diesel
278,Chevrolet Beat LS,Chevrolet,2010,80000.0,56000.0,Petrol
279,Mahindra Quanto C8,Mahindra,2013,340000.0,37000.0,Diesel
280,Fiat Petra ELX,Fiat,2008,75000.0,65000.0,Petrol
281,Chevrolet Beat LS,Chevrolet,2015,220000.0,32700.0,Petrol
282,Skoda Fabia 1.2L,Skoda,2011,159500.0,38200.0,Diesel
283,Ford EcoSport Titanium,Ford,2016,599000.0,30000.0,Diesel
284,Hyundai Accent GLX,Hyundai,2006,80000.0,56000.0,Petrol
285,Mahindra TUV300 T4,Mahindra,2016,675000.0,9000.0,Diesel
286,Mini Cooper S,Mini,2013,1085999.9999999963,13000.0,Petrol
287,Mini Cooper S,Mini,2013,1085999.9999999963,13000.0,Petrol
288,Tata Indica V2,Tata,2008,150000.0,11000.0,Petrol
289,Mini Cooper S,Mini,2013,1085999.9999999963,13000.0,Petrol
290,Tata Indigo CS,Tata,2009,74500.00000000001,46000.0,Diesel
291,Maruti Suzuki Swift,Maruti,2019,610000.0,3470.0000000000005,Petrol
292,Mahindra Scorpio VLX,Mahindra,2004,230000.0,103642.39999999997,Diesel
293,Honda Accord,Honda,2009,175000.0,58559.0,Petrol
294,Mahindra Scorpio S4,Mahindra,2015,855000.0,30000.0,Diesel
295,Chevrolet Tavera Neo,Chevrolet,2013,375000.0,55000.0,Diesel
296,Ford EcoSport Titanium,Ford,2014,520000.0,57000.0,Diesel
297,Maruti Suzuki Ertiga,Maruti,2015,524999.0,50000.0,Diesel
298,Honda Amaze,Honda,2014,299999.0,37000.0,Petrol
299,Maruti Suzuki Dzire,Maruti,2012,299999.0,40000.0,Petrol
300,Honda City,Honda,2011,284999.0,55000.0,Petrol
301,Mahindra Scorpio 2.6,Mahindra,2007,220000.0,103642.39999999997,Diesel
302,Maruti Suzuki Dzire,Maruti,2014,424999.0,55000.0,Diesel
303,Honda City,Honda,2015,644999.0,39000.0,Petrol
304,Honda Mobilio,Honda,2014,399999.0,44000.0,Petrol
305,Toyota Corolla Altis,Toyota,2009,199999.0,65000.0,Petrol
306,Honda City,Honda,2014,584999.0,39000.0,Petrol
307,Skoda Laura,Skoda,2012,349999.0,44000.0,Diesel
308,Renault Duster,Renault,2015,449999.0,49000.0,Diesel
309,Maruti Suzuki Ertiga,Maruti,2018,799999.0,9000.0,Diesel
310,Maruti Suzuki Dzire,Maruti,2015,444999.0,45000.0,Diesel
311,Mahindra XUV500,Mahindra,2014,649999.0,47000.0,Diesel
312,Hyundai Verna Fluidic,Hyundai,2012,444999.0,40000.0,Diesel
313,Maruti Suzuki Vitara,Maruti,2016,689999.0,29000.0,Diesel
314,Maruti Suzuki Wagon,Maruti,2016,344999.0,15000.0,Petrol
315,Mahindra Scorpio,Mahindra,2015,944999.0,45000.0,Diesel
316,Honda Amaze,Honda,2014,274999.0,35000.0,Petrol
317,Mahindra XUV500,Mahindra,2013,689999.0,80000.0,Diesel
318,Mahindra Scorpio,Mahindra,2013,574999.0,68000.0,Diesel
319,Skoda Laura,Skoda,2013,374999.0,50000.0,Diesel
320,Volkswagen Polo,Volkswagen,2010,199999.0,60000.0,Diesel
321,Hyundai Elite i20,Hyundai,2016,549999.0,9000.0,Petrol
322,Tata Manza Aura,Tata,2012,130000.0,72000.0,Diesel
323,Chevrolet Sail UVA,Chevrolet,2013,210000.0,60000.0,Petrol
324,Renault Duster 110,Renault,2012,501000.0,38000.0,Diesel
325,Hyundai Verna Fluidic,Hyundai,2013,401000.0,45000.0,Diesel
326,Audi A4 2.0,Audi,2012,1085999.9999999963,40000.0,Diesel
327,Hyundai Elantra SX,Hyundai,2013,600000.0,20000.0,Petrol
328,Mahindra Scorpio VLX,Mahindra,2013,610000.0,35000.0,Diesel
329,Mahindra KUV100 K8,Mahindra,2016,400000.0,20000.0,Diesel
330,Renault Scala RxL,Renault,2015,375000.0,25000.0,Diesel
331,Mahindra Quanto C8,Mahindra,2013,375000.0,20000.0,Diesel
332,Hyundai Grand i10,Hyundai,2014,365000.0,20000.0,Petrol
333,Hyundai i20 Active,Hyundai,2015,500000.0,18000.0,Petrol
334,Mahindra Xylo E4,Mahindra,2012,400000.0,35000.0,Diesel
335,Hyundai Grand i10,Hyundai,2017,524999.0,6821.0,Petrol
336,Hyundai i20,Hyundai,2014,449999.0,23000.0,Petrol
337,Hyundai Eon,Hyundai,2014,174999.0,14000.0,Petrol
338,Hyundai i10,Hyundai,2012,244999.0,38000.0,Petrol
339,Hyundai i20 Active,Hyundai,2015,574999.0,35000.0,Diesel
340,Datsun Redi GO,Datsun,2017,244999.0,22000.0,Petrol
341,Toyota Etios Liva,Toyota,2011,239999.0,41000.0,Petrol
342,Hyundai Accent,Hyundai,2010,99999.0,45000.0,Petrol
343,Hyundai Verna,Hyundai,2014,489999.0,44000.0,Diesel
344,Maruti Suzuki Swift,Maruti,2013,324999.0,45000.0,Diesel
345,Toyota Fortuner,Toyota,2011,1074999.0,52000.0,Diesel
346,Hyundai i10 Sportz,Hyundai,2012,230000.0,34000.0,Petrol
347,Mahindra Bolero Power,Mahindra,2018,699000.0,3470.0000000000005,Diesel
348,Mahindra XUV500,Mahindra,2015,1000000.0,15000.0,Diesel
349,Honda City 1.5,Honda,2010,240000.0,103642.39999999997,Petrol
350,Chevrolet Spark LT,Chevrolet,2009,110000.0,44000.0,Petrol
351,Mahindra Jeep MM,Mahindra,2019,390000.0,3470.0000000000005,Diesel
352,Renault Duster 110PS,Renault,2012,501000.0,35000.0,Diesel
353,Mahindra XUV500,Mahindra,2016,1085999.9999999963,72000.0,Diesel
354,Tata Indigo eCS,Tata,2014,250000.0,40000.0,Diesel
355,Mahindra Bolero SLE,Mahindra,2013,330000.0,80200.0,Diesel
356,Force Motors Force,Force,2015,580000.0,3470.0000000000005,Diesel
357,Skoda Rapid Elegance,Skoda,2013,340000.0,48000.0,Diesel
358,Tata Vista Quadrajet,Tata,2011,120000.0,90000.0,Diesel
359,Maruti Suzuki Alto,Maruti,2015,265000.0,12000.0,Petrol
360,Maruti Suzuki SX4,Maruti,2012,265000.0,46000.0,Diesel
361,Maruti Suzuki Zen,Maruti,2003,85000.0,69900.0,Petrol
362,Mahindra Jeep CL550,Mahindra,2019,379000.0,3470.0000000000005,Diesel
363,Hyundai i10 Magna,Hyundai,2011,175000.0,45000.0,Petrol
364,Maruti Suzuki Alto,Maruti,2015,219000.0,5000.0,Petrol
365,Maruti Suzuki Swift,Maruti,2016,350000.0,103642.39999999997,Diesel
366,Honda City ZX,Honda,2008,149000.0,42000.0,Petrol
367,Mahindra Jeep CL550,Mahindra,2018,385000.0,3470.0000000000005,Diesel
368,Mahindra Jeep MM,Mahindra,2006,425000.0,3470.0000000000005,Diesel
369,Chevrolet Beat Diesel,Chevrolet,2017,150000.0,62000.0,Diesel
370,Honda City 1.5,Honda,2010,225000.0,70000.0,Petrol
371,Hyundai Verna 1.4,Hyundai,2014,375000.0,36000.0,Petrol
372,Toyota Innova 2.5,Toyota,2012,770000.0,3470.0000000000005,Diesel
373,Maruti Suzuki Maruti,Maruti,1995,74500.00000000001,55000.0,Petrol
374,Toyota Etios,Toyota,2011,275000.0,36000.0,Diesel
